timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1679637039899,32,HTTP Request,200,OK,Thread Group 1-1,text,true,,425156,119,1,1,http://localhost:3000/,25,0,2
1679637039931,28,HTTP Request,200,OK,Thread Group 1-1,text,true,,425156,119,1,1,http://localhost:3000/,23,0,0
1679637039959,161,HTTP Request,200,OK,Thread Group 1-1,text,true,,425156,119,1,1,http://localhost:3000/,156,0,0
1679637040120,101,HTTP Request,200,OK,Thread Group 1-1,text,true,,425156,119,1,1,http://localhost:3000/,95,0,0
1679637040221,28,HTTP Request,200,OK,Thread Group 1-1,text,true,,425156,119,1,1,http://localhost:3000/,22,0,0
1679637040249,75,HTTP Request,200,OK,Thread Group 1-1,text,true,,425156,119,1,1,http://localhost:3000/,70,0,0
1679637040324,93,HTTP Request,200,OK,Thread Group 1-1,text,true,,425156,119,1,1,http://localhost:3000/,88,0,0
1679637040417,98,HTTP Request,200,OK,Thread Group 1-1,text,true,,425156,119,1,1,http://localhost:3000/,94,0,0
1679637040515,29,HTTP Request,200,OK,Thread Group 1-1,text,true,,425156,119,1,1,http://localhost:3000/,22,0,0
1679637040544,26,HTTP Request,200,OK,Thread Group 1-1,text,true,,425156,119,1,1,http://localhost:3000/,22,0,0
1679637040571,61,HTTP Request,200,OK,Thread Group 1-1,text,true,,425156,119,1,1,http://localhost:3000/,56,0,0
1679637040632,103,HTTP Request,200,OK,Thread Group 1-1,text,true,,425156,119,1,1,http://localhost:3000/,98,0,0
1679637040736,24,HTTP Request,200,OK,Thread Group 1-1,text,true,,425156,119,1,1,http://localhost:3000/,19,0,0
1679637040761,71,HTTP Request,200,OK,Thread Group 1-1,text,true,,425156,119,1,1,http://localhost:3000/,66,0,0
1679637040832,26,HTTP Request,200,OK,Thread Group 1-1,text,true,,425156,119,1,1,http://localhost:3000/,21,0,0
1679637040858,82,HTTP Request,200,OK,Thread Group 1-1,text,true,,425156,119,2,2,http://localhost:3000/,76,0,0
1679637040912,31,HTTP Request,200,OK,Thread Group 1-2,text,true,,425156,119,2,2,http://localhost:3000/,25,0,0
1679637040940,83,HTTP Request,200,OK,Thread Group 1-1,text,true,,425156,119,2,2,http://localhost:3000/,76,0,0
1679637040943,84,HTTP Request,200,OK,Thread Group 1-2,text,true,,425156,119,2,2,http://localhost:3000/,77,0,0
1679637041023,120,HTTP Request,200,OK,Thread Group 1-1,text,true,,425156,119,2,2,http://localhost:3000/,113,0,0
1679637041027,119,HTTP Request,200,OK,Thread Group 1-2,text,true,,425156,119,2,2,http://localhost:3000/,114,0,0
1679637041143,85,HTTP Request,200,OK,Thread Group 1-1,text,true,,425156,119,2,2,http://localhost:3000/,79,0,0
1679637041147,85,HTTP Request,200,OK,Thread Group 1-2,text,true,,425156,119,2,2,http://localhost:3000/,79,0,0
1679637041232,104,HTTP Request,200,OK,Thread Group 1-2,text,true,,425156,119,2,2,http://localhost:3000/,99,0,0
1679637041229,110,HTTP Request,200,OK,Thread Group 1-1,text,true,,425156,119,2,2,http://localhost:3000/,105,0,0
1679637041336,89,HTTP Request,200,OK,Thread Group 1-2,text,true,,425156,119,2,2,http://localhost:3000/,83,0,0
1679637041339,91,HTTP Request,200,OK,Thread Group 1-1,text,true,,425156,119,2,2,http://localhost:3000/,85,0,0
