timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1679634832123,100,HTTP Request,200,OK,Thread Group 1-1,text,true,,425156,119,1,1,http://localhost:3000/,95,0,1
1679634832223,32,HTTP Request,200,OK,Thread Group 1-1,text,true,,425156,119,1,1,http://localhost:3000/,26,0,0
1679634832255,73,HTTP Request,200,OK,Thread Group 1-1,text,true,,425156,119,1,1,http://localhost:3000/,68,0,0
1679634832328,29,HTTP Request,200,OK,Thread Group 1-1,text,true,,425156,119,1,1,http://localhost:3000/,23,0,0
1679634832357,75,HTTP Request,200,OK,Thread Group 1-1,text,true,,425156,119,1,1,http://localhost:3000/,71,0,0
1679634832433,24,HTTP Request,200,OK,Thread Group 1-1,text,true,,425156,119,1,1,http://localhost:3000/,20,0,0
1679634832457,59,HTTP Request,200,OK,Thread Group 1-1,text,true,,425156,119,1,1,http://localhost:3000/,54,0,0
1679634832516,99,HTTP Request,200,OK,Thread Group 1-1,text,true,,425156,119,1,1,http://localhost:3000/,95,0,0
1679634832615,26,HTTP Request,200,OK,Thread Group 1-1,text,true,,425156,119,1,1,http://localhost:3000/,21,0,0
1679634832642,23,HTTP Request,200,OK,Thread Group 1-1,text,true,,425156,119,1,1,http://localhost:3000/,19,0,0
1679634832665,24,HTTP Request,200,OK,Thread Group 1-1,text,true,,425156,119,1,1,http://localhost:3000/,19,0,0
1679634832690,48,HTTP Request,200,OK,Thread Group 1-1,text,true,,425156,119,1,1,http://localhost:3000/,42,0,0
1679634832738,96,HTTP Request,200,OK,Thread Group 1-1,text,true,,425156,119,1,1,http://localhost:3000/,92,0,0
1679634832834,26,HTTP Request,200,OK,Thread Group 1-1,text,true,,425156,119,1,1,http://localhost:3000/,23,0,0
1679634832861,59,HTTP Request,200,OK,Thread Group 1-1,text,true,,425156,119,1,1,http://localhost:3000/,54,0,0
1679634832920,96,HTTP Request,200,OK,Thread Group 1-1,text,true,,425156,119,1,1,http://localhost:3000/,91,0,0
1679634833016,23,HTTP Request,200,OK,Thread Group 1-1,text,true,,425156,119,1,1,http://localhost:3000/,19,0,0
1679634833039,23,HTTP Request,200,OK,Thread Group 1-1,text,true,,425156,119,1,1,http://localhost:3000/,19,0,0
1679634833062,57,HTTP Request,200,OK,Thread Group 1-1,text,true,,425156,119,1,1,http://localhost:3000/,52,0,0
1679634833120,100,HTTP Request,200,OK,Thread Group 1-1,text,true,,425156,119,1,1,http://localhost:3000/,96,0,0
1679634833220,24,HTTP Request,200,OK,Thread Group 1-1,text,true,,425156,119,1,1,http://localhost:3000/,19,0,0
1679634833244,72,HTTP Request,200,OK,Thread Group 1-1,text,true,,425156,119,1,1,http://localhost:3000/,67,0,0
1679634833316,25,HTTP Request,200,OK,Thread Group 1-1,text,true,,425156,119,1,1,http://localhost:3000/,20,0,0
1679634833342,87,HTTP Request,200,OK,Thread Group 1-1,text,true,,425156,119,1,1,http://localhost:3000/,82,0,0
1679634833429,24,HTTP Request,200,OK,Thread Group 1-1,text,true,,425156,119,1,1,http://localhost:3000/,19,0,0
1679634833454,23,HTTP Request,200,OK,Thread Group 1-1,text,true,,425156,119,1,1,http://localhost:3000/,19,0,0
1679634833477,51,HTTP Request,200,OK,Thread Group 1-1,text,true,,425156,119,1,1,http://localhost:3000/,46,0,0
1679634833529,102,HTTP Request,200,OK,Thread Group 1-1,text,true,,425156,119,1,1,http://localhost:3000/,97,0,0
1679634833631,23,HTTP Request,200,OK,Thread Group 1-1,text,true,,425156,119,1,1,http://localhost:3000/,18,0,0
1679634833654,24,HTTP Request,200,OK,Thread Group 1-1,text,true,,425156,119,1,1,http://localhost:3000/,18,0,0
