timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1679684054033,18,HTTP Request,200,OK,Thread Group 1-1,text,true,,112467,133,1,1,http://localhost:3000/?category=Java,18,0,1
1679684054052,15,HTTP Request,200,OK,Thread Group 1-1,text,true,,112467,133,1,1,http://localhost:3000/?category=Java,14,0,0
1679684054067,15,HTTP Request,200,OK,Thread Group 1-1,text,true,,112467,133,1,1,http://localhost:3000/?category=Java,14,0,0
1679684054082,14,HTTP Request,200,OK,Thread Group 1-1,text,true,,112467,133,1,1,http://localhost:3000/?category=Java,13,0,0
1679684054096,13,HTTP Request,200,OK,Thread Group 1-1,text,true,,112467,133,1,1,http://localhost:3000/?category=Java,12,0,0
1679684054109,13,HTTP Request,200,OK,Thread Group 1-1,text,true,,112467,133,1,1,http://localhost:3000/?category=Java,12,0,0
1679684054122,13,HTTP Request,200,OK,Thread Group 1-1,text,true,,112467,133,1,1,http://localhost:3000/?category=Java,12,0,0
1679684054135,14,HTTP Request,200,OK,Thread Group 1-1,text,true,,112467,133,1,1,http://localhost:3000/?category=Java,13,0,0
1679684054149,47,HTTP Request,200,OK,Thread Group 1-1,text,true,,112467,133,1,1,http://localhost:3000/?category=Java,46,0,0
1679684054196,12,HTTP Request,200,OK,Thread Group 1-1,text,true,,112467,133,1,1,http://localhost:3000/?category=Java,12,0,0
1679684055039,17,HTTP Request,200,OK,Thread Group 1-2,text,true,,112467,133,1,1,http://localhost:3000/?category=Java,16,0,1
1679684055056,15,HTTP Request,200,OK,Thread Group 1-2,text,true,,112467,133,1,1,http://localhost:3000/?category=Java,14,0,0
1679684055071,15,HTTP Request,200,OK,Thread Group 1-2,text,true,,112467,133,1,1,http://localhost:3000/?category=Java,13,0,0
1679684055086,16,HTTP Request,200,OK,Thread Group 1-2,text,true,,112467,133,1,1,http://localhost:3000/?category=Java,14,0,0
1679684055102,14,HTTP Request,200,OK,Thread Group 1-2,text,true,,112467,133,1,1,http://localhost:3000/?category=Java,13,0,0
