timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1679641086753,20,HTTP Request,200,OK,Thread Group 1-1,text,true,,112467,133,1,1,http://localhost:3000/?category=Java,20,0,1
1679641086774,16,HTTP Request,200,OK,Thread Group 1-1,text,true,,112467,133,1,1,http://localhost:3000/?category=Java,16,0,0
1679641086790,16,HTTP Request,200,OK,Thread Group 1-1,text,true,,112467,133,1,1,http://localhost:3000/?category=Java,16,0,0
1679641086807,16,HTTP Request,200,OK,Thread Group 1-1,text,true,,112467,133,1,1,http://localhost:3000/?category=Java,15,0,0
1679641086823,16,HTTP Request,200,OK,Thread Group 1-1,text,true,,112467,133,1,1,http://localhost:3000/?category=Java,15,0,0
1679641086839,76,HTTP Request,200,OK,Thread Group 1-1,text,true,,112467,133,1,1,http://localhost:3000/?category=Java,75,0,0
1679641086915,16,HTTP Request,200,OK,Thread Group 1-1,text,true,,112467,133,1,1,http://localhost:3000/?category=Java,15,0,0
1679641086931,15,HTTP Request,200,OK,Thread Group 1-1,text,true,,112467,133,1,1,http://localhost:3000/?category=Java,15,0,0
1679641086946,75,HTTP Request,200,OK,Thread Group 1-1,text,true,,112467,133,1,1,http://localhost:3000/?category=Java,74,0,0
1679641087021,15,HTTP Request,200,OK,Thread Group 1-1,text,true,,112467,133,1,1,http://localhost:3000/?category=Java,15,0,0
1679641087763,17,HTTP Request,200,OK,Thread Group 1-2,text,true,,112467,133,1,1,http://localhost:3000/?category=Java,16,0,1
1679641087780,16,HTTP Request,200,OK,Thread Group 1-2,text,true,,112467,133,1,1,http://localhost:3000/?category=Java,16,0,0
1679641087797,13,HTTP Request,200,OK,Thread Group 1-2,text,true,,112467,133,1,1,http://localhost:3000/?category=Java,13,0,0
1679641087810,14,HTTP Request,200,OK,Thread Group 1-2,text,true,,112467,133,1,1,http://localhost:3000/?category=Java,14,0,0
1679641087824,17,HTTP Request,200,OK,Thread Group 1-2,text,true,,112467,133,1,1,http://localhost:3000/?category=Java,16,0,0
1679641087841,14,HTTP Request,200,OK,Thread Group 1-2,text,true,,112467,133,1,1,http://localhost:3000/?category=Java,13,0,0
1679641087855,15,HTTP Request,200,OK,Thread Group 1-2,text,true,,112467,133,1,1,http://localhost:3000/?category=Java,14,0,0
1679641087870,39,HTTP Request,200,OK,Thread Group 1-2,text,true,,112467,133,1,1,http://localhost:3000/?category=Java,38,0,0
1679641087909,14,HTTP Request,200,OK,Thread Group 1-2,text,true,,112467,133,1,1,http://localhost:3000/?category=Java,13,0,0
1679641087923,14,HTTP Request,200,OK,Thread Group 1-2,text,true,,112467,133,1,1,http://localhost:3000/?category=Java,13,0,0
1679641088760,16,HTTP Request,200,OK,Thread Group 1-3,text,true,,112467,133,1,1,http://localhost:3000/?category=Java,15,0,1
1679641088776,14,HTTP Request,200,OK,Thread Group 1-3,text,true,,112467,133,1,1,http://localhost:3000/?category=Java,13,0,0
1679641088790,14,HTTP Request,200,OK,Thread Group 1-3,text,true,,112467,133,1,1,http://localhost:3000/?category=Java,14,0,0
