timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1679682191554,1059,HTTP Request,200,OK,Thread Group 1-17,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,1058,0,2
1679682191555,1133,HTTP Request,200,OK,Thread Group 1-15,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,1132,0,0
1679682191554,1135,HTTP Request,200,OK,Thread Group 1-5,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,1134,0,2
1679682191555,1135,HTTP Request,200,OK,Thread Group 1-20,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,1134,0,1
1679682191554,1137,HTTP Request,200,OK,Thread Group 1-4,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,1136,0,2
1679682191560,1132,HTTP Request,200,OK,Thread Group 1-50,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,1131,0,0
1679682191557,1137,HTTP Request,200,OK,Thread Group 1-26,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,1135,0,0
1679682191560,1135,HTTP Request,200,OK,Thread Group 1-41,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,1133,0,2
1679682191561,1135,HTTP Request,200,OK,Thread Group 1-53,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,1134,0,1
1679682191563,1133,HTTP Request,200,OK,Thread Group 1-28,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,1132,0,1
1679682191555,1143,HTTP Request,200,OK,Thread Group 1-9,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,1141,0,1
1679682191555,1144,HTTP Request,200,OK,Thread Group 1-13,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,1143,0,0
1679682191555,1145,HTTP Request,200,OK,Thread Group 1-23,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,1144,0,1
1679682191559,1142,HTTP Request,200,OK,Thread Group 1-32,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,1141,0,1
1679682191557,1146,HTTP Request,200,OK,Thread Group 1-38,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,1144,0,0
1679682191560,1144,HTTP Request,200,OK,Thread Group 1-42,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,1143,0,1
1679682191554,1151,HTTP Request,200,OK,Thread Group 1-14,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,1150,0,2
1679682191555,1151,HTTP Request,200,OK,Thread Group 1-11,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,1150,0,0
1679682191560,1147,HTTP Request,200,OK,Thread Group 1-45,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,1146,0,3
1679682191560,1149,HTTP Request,200,OK,Thread Group 1-40,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,1148,0,2
1679682191555,1156,HTTP Request,200,OK,Thread Group 1-16,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,1155,0,1
1679682191554,1162,HTTP Request,200,OK,Thread Group 1-6,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,1159,0,2
1679682191554,1163,HTTP Request,200,OK,Thread Group 1-12,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,1162,0,2
1679682191559,1230,HTTP Request,200,OK,Thread Group 1-35,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,1229,0,0
1679682191557,1234,HTTP Request,200,OK,Thread Group 1-29,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,1232,0,0
1679682191561,1236,HTTP Request,200,OK,Thread Group 1-37,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,1234,0,0
1679682191563,1235,HTTP Request,200,OK,Thread Group 1-33,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,1233,0,1
1679682191554,1245,HTTP Request,200,OK,Thread Group 1-10,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,1243,0,1
1679682191562,1238,HTTP Request,200,OK,Thread Group 1-36,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,1237,0,0
1679682191563,1238,HTTP Request,200,OK,Thread Group 1-48,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,1238,0,1
1679682191555,1249,HTTP Request,200,OK,Thread Group 1-21,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,1248,0,0
1679682191555,1250,HTTP Request,200,OK,Thread Group 1-19,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,1249,0,1
1679682191554,1252,HTTP Request,200,OK,Thread Group 1-2,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,1251,0,2
1679682191557,1250,HTTP Request,200,OK,Thread Group 1-24,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,1249,0,0
1679682191559,1330,HTTP Request,200,OK,Thread Group 1-30,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,1329,0,1
1679682191564,1326,HTTP Request,200,OK,Thread Group 1-49,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,1325,0,0
1679682191561,1330,HTTP Request,200,OK,Thread Group 1-43,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,1329,0,1
1679682191554,1338,HTTP Request,200,OK,Thread Group 1-8,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,1337,0,2
1679682191563,1331,HTTP Request,200,OK,Thread Group 1-27,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,1329,0,1
1679682191555,1339,HTTP Request,200,OK,Thread Group 1-18,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,1338,0,1
1679682191554,1341,HTTP Request,200,OK,Thread Group 1-3,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,1340,0,2
1679682191554,1342,HTTP Request,200,OK,Thread Group 1-1,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,1341,0,2
1679682191559,1338,HTTP Request,200,OK,Thread Group 1-25,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,1337,0,1
1679682191554,1344,HTTP Request,200,OK,Thread Group 1-7,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,1343,0,2
1679682191559,1342,HTTP Request,200,OK,Thread Group 1-44,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,1339,0,1
1679682191559,1343,HTTP Request,200,OK,Thread Group 1-47,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,1342,0,1
1679682191561,1343,HTTP Request,200,OK,Thread Group 1-34,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,1341,0,0
1679682191564,1341,HTTP Request,200,OK,Thread Group 1-31,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,1340,0,1
1679682191564,1346,HTTP Request,200,OK,Thread Group 1-39,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,1345,0,1
1679682191564,1349,HTTP Request,200,OK,Thread Group 1-46,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,1346,0,1
1679682191567,1346,HTTP Request,200,OK,Thread Group 1-52,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,1345,0,1
1679682191565,1349,HTTP Request,200,OK,Thread Group 1-22,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,1348,0,0
1679682191564,1350,HTTP Request,200,OK,Thread Group 1-51,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,1350,0,1
1679682191567,1349,HTTP Request,200,OK,Thread Group 1-55,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,1348,0,1
1679682191567,1350,HTTP Request,200,OK,Thread Group 1-54,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,1349,0,1
1679682192690,1010,HTTP Request,200,OK,Thread Group 1-20,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,1008,0,0
1679682192694,1007,HTTP Request,200,OK,Thread Group 1-26,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,1006,0,0
1679682192698,1004,HTTP Request,200,OK,Thread Group 1-9,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,1003,0,0
1679682192706,997,HTTP Request,200,OK,Thread Group 1-11,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,996,0,0
1679682192892,812,HTTP Request,200,OK,Thread Group 1-8,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,811,0,0
1679682192799,907,HTTP Request,200,OK,Thread Group 1-10,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,905,0,0
1679682192805,902,HTTP Request,200,OK,Thread Group 1-19,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,900,0,0
1679682192716,992,HTTP Request,200,OK,Thread Group 1-6,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,991,0,0
1679682192904,805,HTTP Request,200,OK,Thread Group 1-34,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,803,0,0
1679682192696,1014,HTTP Request,200,OK,Thread Group 1-53,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,1013,0,0
1679682192614,1097,HTTP Request,200,OK,Thread Group 1-17,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,1095,0,0
1679682192895,817,HTTP Request,200,OK,Thread Group 1-3,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,816,0,0
1679682192717,998,HTTP Request,200,OK,Thread Group 1-12,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,995,0,0
1679682192700,1016,HTTP Request,200,OK,Thread Group 1-23,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,1013,0,0
1679682192789,927,HTTP Request,200,OK,Thread Group 1-35,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,926,0,0
1679682192706,1012,HTTP Request,200,OK,Thread Group 1-14,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,1011,0,0
1679682192898,821,HTTP Request,200,OK,Thread Group 1-7,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,820,0,0
1679682192689,1030,HTTP Request,200,OK,Thread Group 1-5,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,1029,0,0
1679682192807,914,HTTP Request,200,OK,Thread Group 1-24,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,913,0,0
1679682192894,828,HTTP Request,200,OK,Thread Group 1-18,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,827,0,0
1679682192688,1035,HTTP Request,200,OK,Thread Group 1-15,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,1035,0,0
1679682192791,933,HTTP Request,200,OK,Thread Group 1-29,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,932,0,0
1679682192800,925,HTTP Request,200,OK,Thread Group 1-36,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,924,0,0
1679682192704,1023,HTTP Request,200,OK,Thread Group 1-42,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,1022,0,0
1679682192709,1018,HTTP Request,200,OK,Thread Group 1-40,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,1017,0,0
1679682192903,885,HTTP Request,200,OK,Thread Group 1-47,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,885,0,0
1679682192891,897,HTTP Request,200,OK,Thread Group 1-43,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,896,0,0
1679682192691,1100,HTTP Request,200,OK,Thread Group 1-4,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,1099,0,0
1679682192801,991,HTTP Request,200,OK,Thread Group 1-48,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,990,0,0
1679682192696,1097,HTTP Request,200,OK,Thread Group 1-28,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,1096,0,0
1679682192798,996,HTTP Request,200,OK,Thread Group 1-33,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,996,0,0
1679682192703,1093,HTTP Request,200,OK,Thread Group 1-38,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,1091,0,0
1679682192702,1096,HTTP Request,200,OK,Thread Group 1-32,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,1095,0,0
1679682192901,898,HTTP Request,200,OK,Thread Group 1-44,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,897,0,0
1679682192804,997,HTTP Request,200,OK,Thread Group 1-21,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,995,0,0
1679682192889,914,HTTP Request,200,OK,Thread Group 1-30,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,913,0,0
1679682192695,1113,HTTP Request,200,OK,Thread Group 1-41,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,1111,0,0
1679682192890,998,HTTP Request,200,OK,Thread Group 1-49,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,997,0,0
1679682192797,1096,HTTP Request,200,OK,Thread Group 1-37,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,1095,0,0
1679682192692,1202,HTTP Request,200,OK,Thread Group 1-50,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,1201,0,0
1679682192699,1196,HTTP Request,200,OK,Thread Group 1-13,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,1195,0,0
1679682192707,1189,HTTP Request,200,OK,Thread Group 1-45,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,1187,0,0
1679682192711,1186,HTTP Request,200,OK,Thread Group 1-16,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,1184,0,0
1679682192806,1092,HTTP Request,200,OK,Thread Group 1-2,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,1091,0,0
1679682192896,1004,HTTP Request,200,OK,Thread Group 1-1,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,1002,0,0
1679682192894,1007,HTTP Request,200,OK,Thread Group 1-27,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,1005,0,0
1679682192905,997,HTTP Request,200,OK,Thread Group 1-31,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,995,0,0
1679682192917,993,HTTP Request,200,OK,Thread Group 1-54,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,991,0,0
1679682192914,996,HTTP Request,200,OK,Thread Group 1-22,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,995,0,0
1679682192913,998,HTTP Request,200,OK,Thread Group 1-52,text,true,,112467,133,55,55,http://localhost:3000/?category=Java,997,0,0
