timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1679640492525,19,HTTP Request,200,OK,Thread Group 1-1,text,true,,112467,133,1,1,http://localhost:3000/?category=Java,19,0,1
1679640492545,15,HTTP Request,200,OK,Thread Group 1-1,text,true,,112467,133,1,1,http://localhost:3000/?category=Java,14,0,0
1679640492560,14,HTTP Request,200,OK,Thread Group 1-1,text,true,,112467,133,1,1,http://localhost:3000/?category=Java,13,0,0
1679640492574,24,HTTP Request,200,OK,Thread Group 1-1,text,true,,112467,133,1,1,http://localhost:3000/?category=Java,23,0,0
1679640492598,15,HTTP Request,200,OK,Thread Group 1-1,text,true,,112467,133,1,1,http://localhost:3000/?category=Java,14,0,0
1679640492613,16,HTTP Request,200,OK,Thread Group 1-1,text,true,,112467,133,1,1,http://localhost:3000/?category=Java,15,0,0
1679640492629,16,HTTP Request,200,OK,Thread Group 1-1,text,true,,112467,133,1,1,http://localhost:3000/?category=Java,15,0,0
1679640492645,15,HTTP Request,200,OK,Thread Group 1-1,text,true,,112467,133,1,1,http://localhost:3000/?category=Java,14,0,0
1679640492660,14,HTTP Request,200,OK,Thread Group 1-1,text,true,,112467,133,1,1,http://localhost:3000/?category=Java,13,0,0
1679640492674,42,HTTP Request,200,OK,Thread Group 1-1,text,true,,112467,133,1,1,http://localhost:3000/?category=Java,41,0,0
1679640493532,16,HTTP Request,200,OK,Thread Group 1-2,text,true,,112467,133,1,1,http://localhost:3000/?category=Java,15,0,1
1679640493548,17,HTTP Request,200,OK,Thread Group 1-2,text,true,,112467,133,1,1,http://localhost:3000/?category=Java,16,0,0
1679640493565,52,HTTP Request,200,OK,Thread Group 1-2,text,true,,112467,133,1,1,http://localhost:3000/?category=Java,51,0,0
1679640493617,14,HTTP Request,200,OK,Thread Group 1-2,text,true,,112467,133,1,1,http://localhost:3000/?category=Java,14,0,0
1679640493631,16,HTTP Request,200,OK,Thread Group 1-2,text,true,,112467,133,1,1,http://localhost:3000/?category=Java,15,0,0
1679640493647,14,HTTP Request,200,OK,Thread Group 1-2,text,true,,112467,133,1,1,http://localhost:3000/?category=Java,13,0,0
1679640493661,14,HTTP Request,200,OK,Thread Group 1-2,text,true,,112467,133,1,1,http://localhost:3000/?category=Java,13,0,0
1679640493675,14,HTTP Request,200,OK,Thread Group 1-2,text,true,,112467,133,1,1,http://localhost:3000/?category=Java,13,0,0
1679640493689,21,HTTP Request,200,OK,Thread Group 1-2,text,true,,112467,133,1,1,http://localhost:3000/?category=Java,21,0,0
1679640493710,14,HTTP Request,200,OK,Thread Group 1-2,text,true,,112467,133,1,1,http://localhost:3000/?category=Java,13,0,0
1679640494524,15,HTTP Request,200,OK,Thread Group 1-3,text,true,,112467,133,1,1,http://localhost:3000/?category=Java,14,0,1
1679640494539,13,HTTP Request,200,OK,Thread Group 1-3,text,true,,112467,133,1,1,http://localhost:3000/?category=Java,13,0,0
1679640494552,14,HTTP Request,200,OK,Thread Group 1-3,text,true,,112467,133,1,1,http://localhost:3000/?category=Java,13,0,0
1679640494566,13,HTTP Request,200,OK,Thread Group 1-3,text,true,,112467,133,1,1,http://localhost:3000/?category=Java,12,0,0
1679640494579,13,HTTP Request,200,OK,Thread Group 1-3,text,true,,112467,133,1,1,http://localhost:3000/?category=Java,12,0,0
1679640494592,13,HTTP Request,200,OK,Thread Group 1-3,text,true,,112467,133,1,1,http://localhost:3000/?category=Java,12,0,0
1679640494605,13,HTTP Request,200,OK,Thread Group 1-3,text,true,,112467,133,1,1,http://localhost:3000/?category=Java,12,0,0
1679640494618,13,HTTP Request,200,OK,Thread Group 1-3,text,true,,112467,133,1,1,http://localhost:3000/?category=Java,13,0,0
1679640494632,15,HTTP Request,200,OK,Thread Group 1-3,text,true,,112467,133,1,1,http://localhost:3000/?category=Java,14,0,0
1679640494647,14,HTTP Request,200,OK,Thread Group 1-3,text,true,,112467,133,1,1,http://localhost:3000/?category=Java,13,0,0
1679640495524,17,HTTP Request,200,OK,Thread Group 1-4,text,true,,112467,133,1,1,http://localhost:3000/?category=Java,16,0,1
1679640495541,14,HTTP Request,200,OK,Thread Group 1-4,text,true,,112467,133,1,1,http://localhost:3000/?category=Java,13,0,0
