timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1679640004150,1495,HTTP Request,200,OK,Thread Group 1-12,text,true,,425156,119,23,23,http://localhost:3000/,1490,0,1
1679640004150,1505,HTTP Request,200,OK,Thread Group 1-18,text,true,,425156,119,22,22,http://localhost:3000/,1500,0,0
1679640004149,1518,HTTP Request,200,OK,Thread Group 1-5,text,true,,425156,119,21,21,http://localhost:3000/,1512,0,1
1679640004151,1581,HTTP Request,200,OK,Thread Group 1-23,text,true,,425156,119,20,20,http://localhost:3000/,1577,0,0
1679640004149,1604,HTTP Request,200,OK,Thread Group 1-7,text,true,,425156,119,19,19,http://localhost:3000/,1598,0,2
1679640004150,1617,HTTP Request,200,OK,Thread Group 1-17,text,true,,425156,119,18,18,http://localhost:3000/,1612,0,0
1679640004150,1636,HTTP Request,200,OK,Thread Group 1-13,text,true,,425156,119,17,17,http://localhost:3000/,1630,0,0
1679640004149,1650,HTTP Request,200,OK,Thread Group 1-9,text,true,,425156,119,16,16,http://localhost:3000/,1645,0,2
1679640004150,1681,HTTP Request,200,OK,Thread Group 1-4,text,true,,425156,119,15,15,http://localhost:3000/,1675,0,1
1679640004150,1712,HTTP Request,200,OK,Thread Group 1-19,text,true,,425156,119,14,14,http://localhost:3000/,1707,0,1
1679640004150,1787,HTTP Request,200,OK,Thread Group 1-21,text,true,,425156,119,13,13,http://localhost:3000/,1782,0,1
1679640004150,1870,HTTP Request,200,OK,Thread Group 1-20,text,true,,425156,119,12,12,http://localhost:3000/,1865,0,1
1679640004149,1893,HTTP Request,200,OK,Thread Group 1-15,text,true,,425156,119,11,11,http://localhost:3000/,1888,0,2
1679640004150,1967,HTTP Request,200,OK,Thread Group 1-2,text,true,,425156,119,10,10,http://localhost:3000/,1960,0,1
1679640004149,1982,HTTP Request,200,OK,Thread Group 1-1,text,true,,425156,119,9,9,http://localhost:3000/,1976,0,2
1679640004150,1993,HTTP Request,200,OK,Thread Group 1-16,text,true,,425156,119,8,8,http://localhost:3000/,1988,0,1
1679640004150,2007,HTTP Request,200,OK,Thread Group 1-14,text,true,,425156,119,7,7,http://localhost:3000/,2001,0,1
1679640004149,2022,HTTP Request,200,OK,Thread Group 1-8,text,true,,425156,119,6,6,http://localhost:3000/,2017,0,2
1679640004149,2073,HTTP Request,200,OK,Thread Group 1-10,text,true,,425156,119,5,5,http://localhost:3000/,2066,0,2
1679640004149,2090,HTTP Request,200,OK,Thread Group 1-3,text,true,,425156,119,4,4,http://localhost:3000/,2084,0,2
1679640004151,2101,HTTP Request,200,OK,Thread Group 1-22,text,true,,425156,119,3,3,http://localhost:3000/,2095,0,0
1679640004149,2117,HTTP Request,200,OK,Thread Group 1-6,text,true,,425156,119,2,2,http://localhost:3000/,2112,0,2
1679640004149,2131,HTTP Request,200,OK,Thread Group 1-11,text,true,,425156,119,1,1,http://localhost:3000/,2126,0,2
