timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1679640535381,15,HTTP Request,200,OK,Thread Group 1-1,text,true,,34262,132,1,1,http://localhost:3000/search?q=Java,15,0,1
1679640535397,13,HTTP Request,200,OK,Thread Group 1-1,text,true,,34262,132,1,1,http://localhost:3000/search?q=Java,13,0,0
1679640535410,12,HTTP Request,200,OK,Thread Group 1-1,text,true,,34262,132,1,1,http://localhost:3000/search?q=Java,12,0,0
1679640535422,12,HTTP Request,200,OK,Thread Group 1-1,text,true,,34262,132,1,1,http://localhost:3000/search?q=Java,12,0,0
1679640535434,11,HTTP Request,200,OK,Thread Group 1-1,text,true,,34262,132,1,1,http://localhost:3000/search?q=Java,11,0,0
1679640535445,12,HTTP Request,200,OK,Thread Group 1-1,text,true,,34262,132,1,1,http://localhost:3000/search?q=Java,12,0,0
1679640535457,12,HTTP Request,200,OK,Thread Group 1-1,text,true,,34262,132,1,1,http://localhost:3000/search?q=Java,12,0,0
1679640535469,13,HTTP Request,200,OK,Thread Group 1-1,text,true,,34262,132,1,1,http://localhost:3000/search?q=Java,13,0,0
1679640535482,32,HTTP Request,200,OK,Thread Group 1-1,text,true,,34262,132,1,1,http://localhost:3000/search?q=Java,32,0,0
1679640535514,12,HTTP Request,200,OK,Thread Group 1-1,text,true,,34262,132,1,1,http://localhost:3000/search?q=Java,12,0,0
1679640536383,14,HTTP Request,200,OK,Thread Group 1-2,text,true,,34262,132,1,1,http://localhost:3000/search?q=Java,14,0,1
1679640536397,12,HTTP Request,200,OK,Thread Group 1-2,text,true,,34262,132,1,1,http://localhost:3000/search?q=Java,12,0,0
1679640536409,14,HTTP Request,200,OK,Thread Group 1-2,text,true,,34262,132,1,1,http://localhost:3000/search?q=Java,14,0,0
1679640536423,14,HTTP Request,200,OK,Thread Group 1-2,text,true,,34262,132,1,1,http://localhost:3000/search?q=Java,14,0,0
1679640536437,12,HTTP Request,200,OK,Thread Group 1-2,text,true,,34262,132,1,1,http://localhost:3000/search?q=Java,12,0,0
1679640536449,13,HTTP Request,200,OK,Thread Group 1-2,text,true,,34262,132,1,1,http://localhost:3000/search?q=Java,13,0,0
1679640536462,11,HTTP Request,200,OK,Thread Group 1-2,text,true,,34262,132,1,1,http://localhost:3000/search?q=Java,11,0,0
1679640536473,42,HTTP Request,200,OK,Thread Group 1-2,text,true,,34262,132,1,1,http://localhost:3000/search?q=Java,42,0,0
1679640536515,12,HTTP Request,200,OK,Thread Group 1-2,text,true,,34262,132,1,1,http://localhost:3000/search?q=Java,12,0,0
1679640536527,12,HTTP Request,200,OK,Thread Group 1-2,text,true,,34262,132,1,1,http://localhost:3000/search?q=Java,12,0,0
1679640537381,15,HTTP Request,200,OK,Thread Group 1-3,text,true,,34262,132,1,1,http://localhost:3000/search?q=Java,15,0,0
1679640537396,11,HTTP Request,200,OK,Thread Group 1-3,text,true,,34262,132,1,1,http://localhost:3000/search?q=Java,11,0,0
1679640537407,12,HTTP Request,200,OK,Thread Group 1-3,text,true,,34262,132,1,1,http://localhost:3000/search?q=Java,12,0,0
1679640537419,11,HTTP Request,200,OK,Thread Group 1-3,text,true,,34262,132,1,1,http://localhost:3000/search?q=Java,11,0,0
1679640537430,12,HTTP Request,200,OK,Thread Group 1-3,text,true,,34262,132,1,1,http://localhost:3000/search?q=Java,12,0,0
1679640537442,11,HTTP Request,200,OK,Thread Group 1-3,text,true,,34262,132,1,1,http://localhost:3000/search?q=Java,11,0,0
1679640537453,12,HTTP Request,200,OK,Thread Group 1-3,text,true,,34262,132,1,1,http://localhost:3000/search?q=Java,12,0,0
1679640537465,11,HTTP Request,200,OK,Thread Group 1-3,text,true,,34262,132,1,1,http://localhost:3000/search?q=Java,11,0,0
1679640537476,12,HTTP Request,200,OK,Thread Group 1-3,text,true,,34262,132,1,1,http://localhost:3000/search?q=Java,12,0,0
1679640537488,11,HTTP Request,200,OK,Thread Group 1-3,text,true,,34262,132,1,1,http://localhost:3000/search?q=Java,11,0,0
1679640538381,14,HTTP Request,200,OK,Thread Group 1-4,text,true,,34262,132,1,1,http://localhost:3000/search?q=Java,14,0,1
1679640538395,12,HTTP Request,200,OK,Thread Group 1-4,text,true,,34262,132,1,1,http://localhost:3000/search?q=Java,12,0,0
1679640538407,12,HTTP Request,200,OK,Thread Group 1-4,text,true,,34262,132,1,1,http://localhost:3000/search?q=Java,12,0,0
1679640538419,12,HTTP Request,200,OK,Thread Group 1-4,text,true,,34262,132,1,1,http://localhost:3000/search?q=Java,12,0,0
1679640538431,12,HTTP Request,200,OK,Thread Group 1-4,text,true,,34262,132,1,1,http://localhost:3000/search?q=Java,12,0,0
1679640538443,12,HTTP Request,200,OK,Thread Group 1-4,text,true,,34262,132,1,1,http://localhost:3000/search?q=Java,11,0,0
1679640538455,12,HTTP Request,200,OK,Thread Group 1-4,text,true,,34262,132,1,1,http://localhost:3000/search?q=Java,12,0,0
1679640538467,10,HTTP Request,200,OK,Thread Group 1-4,text,true,,34262,132,1,1,http://localhost:3000/search?q=Java,10,0,0
1679640538477,36,HTTP Request,200,OK,Thread Group 1-4,text,true,,34262,132,1,1,http://localhost:3000/search?q=Java,36,0,0
1679640538513,11,HTTP Request,200,OK,Thread Group 1-4,text,true,,34262,132,1,1,http://localhost:3000/search?q=Java,11,0,0
1679640539381,14,HTTP Request,200,OK,Thread Group 1-5,text,true,,34262,132,1,1,http://localhost:3000/search?q=Java,14,0,1
1679640539395,12,HTTP Request,200,OK,Thread Group 1-5,text,true,,34262,132,1,1,http://localhost:3000/search?q=Java,12,0,0
1679640539407,12,HTTP Request,200,OK,Thread Group 1-5,text,true,,34262,132,1,1,http://localhost:3000/search?q=Java,12,0,0
1679640539419,14,HTTP Request,200,OK,Thread Group 1-5,text,true,,34262,132,1,1,http://localhost:3000/search?q=Java,14,0,0
1679640539433,12,HTTP Request,200,OK,Thread Group 1-5,text,true,,34262,132,1,1,http://localhost:3000/search?q=Java,12,0,0
1679640539445,13,HTTP Request,200,OK,Thread Group 1-5,text,true,,34262,132,1,1,http://localhost:3000/search?q=Java,13,0,0
1679640539458,13,HTTP Request,200,OK,Thread Group 1-5,text,true,,34262,132,1,1,http://localhost:3000/search?q=Java,13,0,0
1679640539471,12,HTTP Request,200,OK,Thread Group 1-5,text,true,,34262,132,1,1,http://localhost:3000/search?q=Java,12,0,0
1679640539483,13,HTTP Request,200,OK,Thread Group 1-5,text,true,,34262,132,1,1,http://localhost:3000/search?q=Java,13,0,0
1679640539496,13,HTTP Request,200,OK,Thread Group 1-5,text,true,,34262,132,1,1,http://localhost:3000/search?q=Java,13,0,0
1679640540381,13,HTTP Request,200,OK,Thread Group 1-6,text,true,,34262,132,1,1,http://localhost:3000/search?q=Java,13,0,1
1679640540394,11,HTTP Request,200,OK,Thread Group 1-6,text,true,,34262,132,1,1,http://localhost:3000/search?q=Java,11,0,0
1679640540405,11,HTTP Request,200,OK,Thread Group 1-6,text,true,,34262,132,1,1,http://localhost:3000/search?q=Java,11,0,0
1679640540416,12,HTTP Request,200,OK,Thread Group 1-6,text,true,,34262,132,1,1,http://localhost:3000/search?q=Java,12,0,0
